6.5,2
150,170,150,170,216,169,273,168,332,167,393,167,456,166
133,178,133,178,204,177,266,177,332,176,398,176,468,175
110,188,110,188,188,188,258,188,331,187,405,187,483,187
78,203,78,203,167,203,247,202,330,202,414,201,500,201
45,218,45,218,144,218,235,218,329,218,424,217,521,217
-4,242,-4,242,110,241,217,241,327,241,438,241,551,240
-72,273,-72,273,62,274,191,274,324,275,460,275,596,276
-175,321,-175,321,-7,321,154,322,321,322,489,323,657,323
-348,401,-348,401,-126,403,91,404,315,406,541,407,765,409
