6.5,1
122,179,190,179,251,180,313,180,370,180,430,181,493,181
106,187,179,188,246,188,314,189,378,189,443,190,513,190
86,197,166,197,240,198,315,198,385,198,456,199,531,199
60,210,149,210,233,210,316,211,395,211,475,211,558,212
26,227,127,227,223,227,318,228,408,228,499,228,594,229
-18,248,98,249,210,249,320,250,426,250,531,250,640,251
-76,277,60,278,193,279,323,280,450,281,577,282,708,283
-169,323,0,324,167,324,328,325,486,326,642,326,801,327
-333,404,-103,402,122,401,336,399,544,398,744,396,946,395
