5,1.5
92,164,161,164,221,163,283,162,344,162,405,161,469,160
66,174,139,174,207,174,275,174,344,173,414,173,487,173
34,186,115,186,191,185,268,185,345,184,422,184,502,184
-5,202,83,201,170,201,257,201,345,201,434,200,526,200
-58,222,41,222,143,222,243,222,346,222,450,222,557,222
-130,249,-14,249,107,248,226,248,347,248,469,248,594,247
-231,287,-94,287,54,288,199,288,349,288,499,288,654,289
-387,346,-218,347,-26,348,158,350,351,351,546,353,748,354
-660,449,-436,452,-170,456,85,460,356,464,631,468,918,472
